category_name,name,url,status
Máy văn phòng,Bàn phím có dây Logitech K120 ( 920-002582),https://super-mro.com/san-pham/ban-phim-co-day-logitech-k120.html,0
Máy văn phòng,Chuột dây Logitech B100-800DPI,https://super-mro.com/san-pham/chuot-day-logitech-b100-800dpi.html,0
Máy văn phòng,"Cổng nối mạng TL-SG1024 TP-Link, Rackmount 13-inch 1U, vỏ sắt",https://super-mro.com/san-pham/cong-noi-mang-tl-sg1024-tp-link-rackmount-13-inch-1u-vo-sat.html,0
Máy văn phòng,Máy tính Laptop HP Envy 13 ba1535tu i7 1165g/8g/512gb/13.3”FHD/win 10 vàng,https://super-mro.com/san-pham/may-tinh-laptop-hp-envy-13-ba1535tu-i7-1165g-8g-512gb-13-3fhd-win-10-vang.html,0
Máy văn phòng,Ổ cứng SSD Kingmax 120Gb,https://super-mro.com/san-pham/o-cung-ssd-kingmax-120gb.html,0
Máy văn phòng,Bộ nhớ Ram DDR3 4GB,https://super-mro.com/san-pham/bo-nho-ram-ddr3-4gb.html,0
Máy văn phòng,"Bộ máy tính Đông Nam Á CPU G6400, H510-H",https://super-mro.com/san-pham/bo-may-tinh-dong-nam-a-cpu-g6400-h510-h.html,0
Máy văn phòng,"Bộ máy tính Đông Nam Á H510, CPU G6405",https://super-mro.com/san-pham/bo-may-tinh-dong-nam-a-h510-cpu-g6405.html,0
Máy văn phòng,Bộ nhớ trong RAM DESKTOP LEXAR 8GB UDIMM DDR4_LD4AU008G-B2666GSSC,https://super-mro.com/san-pham/bo-nho-trong-ram-desktop-lexar-8gb-udimm-ddr4-ld4au008g-b2666gssc.html,0
Máy văn phòng,Chip vi xử lý INTEL PENTIUM G6405 4.10 Ghz + Quạt,https://super-mro.com/san-pham/chip-vi-xu-ly-intel-pentium-g6405-4-10-ghz-quat.html,0
Máy văn phòng,"Chuột vi tính (Mouse), Logitech B100 (910-001439)",https://super-mro.com/san-pham/chuot-vi-tinh-mouse-logitech-b100-910-001439.html,0
Máy văn phòng,"Mạch chính Mainboard Gigabyte H510M-H V3 2 Khe ram 1xD-Sub, 1xHDMI",https://super-mro.com/san-pham/mach-chinh-mainboard-gigabyte-h510m-h-v3-2-khe-ram-1xd-sub-1xhdmi.html,0
Máy văn phòng,"Màn chiếu điện Dalite P84ES 2m13x2m13 120""",https://super-mro.com/san-pham/man-chieu-dien-dalite-p84es-2m13x2m13-120.html,0
Máy văn phòng,Màn chiếu treo tường HPEC 84 inches (2130x2130),https://super-mro.com/san-pham/man-chieu-treo-tuong-hpec-84-inches-2130x2130.html,0
Máy văn phòng,Màn hình Viewsonic VA2223-A (21.5inch/FHD/TN/60Hz/5ms/250nits/VGA,https://super-mro.com/san-pham/man-hinh-viewsonic-va2223-a-21-5inch-fhd-tn-60hz-5ms-250nits-vga.html,0
Máy văn phòng,"Máy chiếu Boxlingt ALX350 - 1024x768, 3500lm, 3300:1, VGA+HDMI+video, 20000h",https://super-mro.com/san-pham/may-chieu-boxlingt-alx350-1024x768-3500lm-33001-vga-hdmi-video-20000h.html,0
Máy văn phòng,Máy Chiếu Sony VPL-EX570,https://super-mro.com/san-pham/may-chieu-sony-vpl-ex570.html,0
Máy văn phòng,Máy tính xách tay Dell Latitude 3420 L3420I5SSDF,https://super-mro.com/san-pham/may-tinh-xach-tay-dell-latitude-3420-l3420i5ssdf.html,0
Máy văn phòng,"Nguồn máy tính Xigmatekx-Power III 350 (250W,230V)",https://super-mro.com/san-pham/nguon-may-tinh-xigmatekx-power-iii-350-250w-230v-.html,0
Máy văn phòng,"Ổ cứng HDD WD 6TB 3.5"" Sata3, màu tím (Purple) (WD63PURZ)",https://super-mro.com/san-pham/o-cung-hdd-wd-6tb-3-5-sata3-mau-tim-purple-wd63purz.html,0
Máy văn phòng,Ổ cứng Kingspec 128GB Interface SATAIII P3-128,https://super-mro.com/san-pham/o-cung-kingspec-128gb-interface-sataiii-p3-128.html,0
Máy văn phòng,Ổ cứng Seagate 1TB Sata,https://super-mro.com/san-pham/o-cung-seagate-1tb-sata.html,0
Máy văn phòng,"Vỏ case máy tính KENOO, model Kenoo T13",https://super-mro.com/san-pham/vo-case-may-tinh-kenoo-model-kenoo-t13.html,0
Máy văn phòng,Hạt mạng RJ45 Golden Japan Cat6 (túi 100 chiếc),https://super-mro.com/san-pham/hat-mang-rj45-golden-japan-cat6-tui-100-chiec.html,0
Máy văn phòng,Cáp chuyển đổi USB sang RS422 RS485 có đèn LED Dtech DT-5019,https://super-mro.com/san-pham/cap-chuyen-doi-usb-sang-rs422-rs485-co-den-led-dtech-dt-5019.html,0
Máy văn phòng,Chip dao tiện Deska 16ERM AG 55 LP6018r,https://super-mro.com/san-pham/chip-16erm-ag-55-lp6018-deskar.html,0
